Name,VoxCeleb2ID,VGGFace2,Gender,Set,Ethnicity,Birthdate,ErrorLinks
Aaron_Ashmore,id00012,n000012,m,dev,Caucasian Latin,1979-10-07,
Aaron_Motsoaledi,id00015,n000015,m,dev,African American,1958-08-07,
Aaron_Ramsey,id00016,n000016,m,dev,Caucasian Latin,1990-12-26,
Aaron_Rodgers,id00017,n000017,m,test,Caucasian Latin,1983-12-02,
Aaron_Schock,id00018,n000018,m,dev,Caucasian Latin,1981-05-28,
Aaron_Stanford,id00019,n000019,m,dev,Caucasian Latin,1976-12-27,
Aaron_Taylor-Johnson,id00020,n000020,m,dev,Caucasian Latin,1990-06-13,
Aaron_Tippin,id00021,n000021,m,dev,Caucasian Latin,1958-07-03,
Aarti_Chhabria,id00022,n000022,f,dev,Caucasian Latin,1982-11-21,
Abbey_Clancy,id00024,n000024,f,dev,Caucasian Latin,1986-01-10,
Abby_Elliott,id00025,n000025,f,dev,Caucasian Latin,1800-01-01, https://en.wikipedia.org/wiki/Abby_Elliott 
Abdelaziz_Bouteflika,id00026,n000026,m,dev,Caucasian Latin,1937-03-02,
Abdul_Hadi_Awang,id00027,n000027,m,dev,Asian Indian,1947-10-20,
Abdul_Qadeer_Khan,id00028,n000028,m,dev,Asian Indian,1936-04-01,
Abdullah_II_of_Jordan,id00029,n000029,m,dev,Caucasian Latin,1962-01-30,
Abhay_Deol,id00032,n000032,m,dev,Asian Indian,1976-03-15,
Abhinav_Bindra,id00033,n000033,m,dev,Asian Indian,1982-09-28,
Abu_Qatada,id00035,n000035,m,dev,Caucasian Latin,1800-01-01, https://en.wikipedia.org/wiki/Abu_Qatada 
Aburizal_Bakrie,id00036,n000036,m,dev,East Asian,1946-11-15,
Acha_Septriasa,id00039,n000039,f,dev,East Asian,1989-09-01,
Aco_Petrović,id00040,n000040,m,dev,Caucasian Latin,1800-01-01, https://en.wikipedia.org/wiki/Aco_Petrović 
Ada_Yonath,id00042,n000042,m,dev,Caucasian Latin,1939-06-22,
Adah_Sharma,id00043,n000043,f,dev,Asian Indian,1992-05-11,
Adal_Ramones,id00044,n000044,m,dev,Caucasian Latin,1961-12-03,
Adam_Ashley-Cooper,id00046,n000046,m,dev,Caucasian Latin,1984-03-27,
Adam_Bandt,id00047,n000047,m,dev,Caucasian Latin,1972-03-11,
Adam_Darski,id00049,n000049,m,dev,Caucasian Latin,1977-06-10,
Adam_Duritz,id00050,n000050,m,dev,Caucasian Latin,1964-08-01,
Adam_Gilchrist,id00051,n000051,m,dev,Caucasian Latin,1971-11-14,
Adam_Housley,id00052,n000052,m,dev,Caucasian Latin,1971-08-13,
Adam_Irigoyen,id00053,n000053,m,dev,Caucasian Latin,1997-08-05,
Adam_Lallana,id00055,n000055,m,dev,Caucasian Latin,1988-05-10,
Adam_Liaw,id00056,n000056,m,dev,East Asian,1978-09-08,
Adam_Nawałka,id00058,n000058,m,dev,Caucasian Latin,1957-10-23,
Adam_Pascal,id00059,n000059,m,dev,Caucasian Latin,1970-10-25,
Adam_Richman,id00060,n000060,m,dev,Caucasian Latin,1800-01-01, https://en.wikipedia.org/wiki/Adam_Richman 
Adam_Rodríguez,id00061,n000061,m,test,Caucasian Latin,1975-04-02,
Adam_Schiff,id00062,n000062,m,dev,Caucasian Latin,1960-06-22,
Adam_Senn,id00063,n000063,m,dev,Caucasian Latin,1984-04-10,
Adam_Silver,id00064,n000064,m,dev,Caucasian Latin,1962-04-25,
Adam_Yauch,id00066,n000066,m,dev,Caucasian Latin,1964-08-05,
Adamari_López,id00067,n000067,f,dev,Caucasian Latin,1971-05-18,
