sample_id,Reference
id09211,_MIYSIR92eo
id09211,gcpfyjnyCq8
id09211,GgOla3bQubw
id09211,UZK5ZH6al0o
id09211,Dz03jYFm7WE
id09211,mW2K_hIJGwQ
id09211,IIl9vTHHMEk
id09211,L6KBG3dzApg
id09211,7Vzf7hqK_Eg
id09211,ihQ6hTqcbzY
id08821,6yAtGi-vj9I
id08821,hweMRGQa5Pk
id08821,o07wUDS8S2I
id08821,ZLR06wQTyYo
id08821,op3Dlp9HKNc
id08821,KkTX3XpU3bg
id08821,VKh4wwSP-IM
id08821,WYBBsoPQJng
id08821,4VPoCePM4Aw
id08821,EZdfrIDtTQ8
id08821,MsRU-GJZZBo
id08821,KhTYm-Wv5es
id08821,D0nlv29V-9c
id08821,hunH11g85uQ
id08821,fHq9rrWmnbw
id08821,8ryJqeti9a4
id08821,A1zaOlZpvdQ
id08821,kn-xuVgt7b0
id08821,9fsaKF9oWjI
id08821,NWX93ANKMnU
id08821,w4l5soJXH64
id08821,T-nR2HJIfPk
id08821,2udzKpk-S6I
id08821,LyLD5CBiF4U
id08821,QiAnWVQfMCI
id08821,Eqg43OIFu20
id08821,Yd_O3FT76lw
id08821,GgvJklE8Urg
id08821,V3OJNa0V1Q8
id08821,EAzEJjDOC5s
id08821,mtkyUdmeTHs
id08821,nvGFlcPn3fQ
id08821,RypR7JO9Vb4
id08821,HKAUzDxMzL4
id08821,3NQFhGUgGE8
id08821,ARPwKHZuUOA
id08821,Tj_fkpg-Gu8
id08821,hXdF4DYRPVo
id08821,Uua-55PtchE
id09205,zLO4nukkz3A
id09205,ZdWiiTU3-kY
id09205,1FgHTphsOVg
id09205,7Ldm57YZG1c
id09205,dmkrCIS0MLE
id09205,iTKQJ1bFaVM
id09205,gH9CiNzW2pw
id09205,jLPjqxgO2wg
id09205,hdGOc69AfpM
id09205,A4fXeHXIyL8
id09205,Qn3r2NHSf20
id09205,6SHoPfEvnNY
id09205,wb0dWsC5tB4
id09205,20ep-R9FN5M
id09205,6OTvQ-c7RHg
id09205,h4hQepfGCrA
id09205,y8LT1WBUwuw
id09205,KNXmWPjxUKg
id09205,Aro5W4pHKiI
id09205,MwT_00X9GXo
id09205,pVivgaVGdr4
id09205,0Ua3b0FxB48
id09205,k9XfLYz0_Ac
id09205,Fi66sh32sjg
id09205,SdL3wJTGeR4
id09205,vIEhotyT5Fg
id09205,r4lr1EY0-90
id09205,8zS80L_tx6M
id09205,kpETCgUI-20
id08611,pYCs86zo3MM
id08611,nktSkXxyl24
id08611,Q3J4tmPP2p0
id08611,bydasev4xT4
id08611,qeEF04z7JoQ
id08611,w6riqnYP0rI
id08611,8MoWYDfh8Dk
id08611,reml3xlX3WY
id08611,gWsY8hvkIts
id08611,ONk5VZDE9ME
id08611,Q3vEPyr6uvM
id08611,M1hmNb3ynUY
id08611,TIZLwscbsfw
id08611,aezF65GzsaA
id08611,4AyOoKrd1xE
id08611,FygUjgYLoDM
id08611,qz3yX8oUMng
id08611,mqYq80uCpFY
id08611,IIdu9msDukE
id08611,Ti_Mco21y8k
id08611,tGC3H5RAYWs
id08611,jHQHiGXShsY
id08611,H4O47qx3vQc
id08611,htI_sMsX8QE
id08611,y-yeGasLmtg
id08611,SpP3helI5cs
id08611,vx53zqRbRK4
id08611,yhhh5BTUAyI
id08928,hloiCrU0T9g
id08928,_vel2Mqy45k
id08928,yt0sjXulHnU
id08928,4iclPNHSWy8
id08928,rMClAX06Ssk
id08928,QQJiKzm7iY4
id08928,K0UMO6DWn84
id08928,Z1pLHv9OfKo
id08928,UWxGA2kDpP4
id08928,kH-Has_IQUc
id08928,eha2ipPQEg8
id08928,XDMwcZiYPdE
id08928,_pyUdi3hjxc
id08928,Gkv3f-Y3irU
id08928,wMInupxKhcc
id08928,beS1JcR8ExI
id08928,TXFJQALmnV4
id08928,pfttuRNoXy8
id08928,t_SsUl3ij9Y
id08928,EmjQ_n08dB8
id08928,9ZgPk5LHRug
id08928,DGUITfdQSwE
id08928,7l_JUdnbxaA
id08928,nUYwQNuDNhg
id08928,_UvPbSmqKvQ
id08928,uGthNoAn7Do
id08928,XrQ8zcS6ywk
id08928,CUDfaBcEbBU
id08928,T6H4bL1EQOY
id08928,x4MQxKXvEvE
id08926,C2kQoox5M4w
id08926,EX6ICPujOyE
id08926,sJVitJTxgl8
id08926,1R0D3QGEyag
id08926,cZIgKHjla-o
id08926,xs7qaO0By3w
id08926,EsPLcY6tzhw
id08926,W7QzYkbaCDo
id08926,eoD0vVbipzU
id08926,BS4u9kHguBI
id08926,vSGiiThXd14
id08926,a3W2zER4l7E
id08926,7wbOsJiHWtM
id08926,niHd-IZw6w8
id08926,K85Lt0YIuZM
id08926,H3nGJ7_wF1A
id08926,FGXA-bhPUfU
id08926,K1f1MoHqGdc
id08926,fUwOfGlz8-Q
id08926,aNp7gec21IQ
id08926,2z9Z5pBGzJU
id08926,cXTbeITc39c
id08926,f9n2ok6gJ6E
id08926,IeqvqGzrwbg
id08926,UvVC4odsoBw
id08926,3N6b-PqFW-o
id08926,IPPtrkelug4
id08926,BjtAA3P1Nn4
id08926,E4V92XNXOLE
id08926,Ta3H6V67F-E
id08926,CLX8cSJgAqI
id08926,syvSclgu2XI
id08926,Zr1-Silz7WI
id08967,xE5HflhCQzI
id08967,X5xfKvrtRsE
id08967,YHb0koS2ru0
id08967,GZ2XXhFMQ_E
id08967,mIUyHyyAO5k
id08967,L2b1dZh1rqs
id08967,jTdI8TMvEGg
id08967,2NxdQWmB8BY
id08967,F-azLJC7rcU
id08967,v2HcgKqzL14
id09232,Cg8gosjlZuQ
id09232,nRnTFUpVV_4
id09232,iWEQ6k548DM
id09232,t9D5gndqjm0
id09232,0bw7WPMQGYM
id09232,Ualh8J5ORHc
id09232,K-vSwd8TvbA
id09232,fIpnCH7KrqE
id09232,40SSkQMCab8
id09232,wjSn_t2sTvc
id09232,HPH0447BzIM
id09232,l8J0y3OcPLQ
id09232,GWajiMItc1I
id09232,PymSg80-Q6Q
id09232,qLLqAvuybOg
id09232,MZYUamSV8GM
id09232,XwuxYUQy92Y
id09232,YKInaAguMds
id09232,Xj0n6yA_vog
id09232,ytgKuPegtQo
id09232,Bl9-BRAEmaM
id09232,Odv0zlxI4Y4
id09232,uk7jks-8l0k
id09232,oW6LjIdqv2U
id09232,ZLsMyouJ7ew
id09232,R2-GAUpZVPk
id09232,RY3qGvRPVdw
id09232,aMqDtg2q0ZM
id09232,GgULUOsKUcM
id09232,gMhIXP4PBAs
id09232,KGXFH580d6A
